CTXN001||2025-08-08 14:30:00|1234567890123456|WIRE_INIT|5000.00|USD|International Wire - Setup|WREF001|SEQUENTIAL|1|1|B001
CTXN002|CTXN001|2025-08-08 14:30:01|1234567890123456|WIRE_VALIDATE|5000.00|USD|International Wire - Validation|WREF001|SEQUENTIAL|2|1|B001
CTXN003|CTXN002|2025-08-08 14:30:02|1234567890123456|WIRE_EXECUTE|5000.00|USD|International Wire - Execution|WREF001|SEQUENTIAL|3|1|B001
CTXN004|CTXN003|2025-08-08 14:30:03|1234567890123456|WIRE_CONFIRM|5000.00|USD|International Wire - Confirmation|WREF001|SEQUENTIAL|4|1|B001
CTXN005||2025-08-08 15:45:00|2345678901234567|LOAN_INIT|25000.00|USD|Mortgage Loan - Setup|LREF001|PARALLEL|1|2|B002
CTXN006|CTXN005|2025-08-08 15:45:01|2345678901234567|LOAN_VALIDATE|25000.00|USD|Mortgage Loan - Credit Check|LREF001|PARALLEL|1|2|B002
CTXN007||2025-08-08 16:15:00|3456789012345678|TRADE_INIT|10000.00|USD|Securities Trade - Setup|TREF001|SEQUENTIAL|1|3|B003
CTXN008|CTXN007|2025-08-08 16:15:01|3456789012345678|TRADE_VALIDATE|10000.00|USD|Securities Trade - Compliance Check|TREF001|SEQUENTIAL|2|3|B003
CTXN009|CTXN008|2025-08-08 16:15:02|3456789012345678|TRADE_EXECUTE|10000.00|USD|Securities Trade - Market Order|TREF001|SEQUENTIAL|3|3|B003
CTXN010|CTXN009|2025-08-08 16:15:03|3456789012345678|TRADE_SETTLE|10000.00|USD|Securities Trade - Settlement|TREF001|SEQUENTIAL|4|3|B003
