TXN001|2025-08-08 09:15:30|1234567890123456|DEBIT|1250.50|USD|ATM Withdrawal - Main St|REF001|B001
TXN002|2025-08-08 09:30:45|1234567890123456|CREDIT|2000.00|USD|Direct Deposit - Salary|REF002|B001
TXN003|2025-08-08 10:15:20|2345678901234567|DEBIT|45.75|USD|POS Purchase - Coffee Shop|REF003|B002
TXN004|2025-08-08 10:45:10|2345678901234567|TRANSFER|500.00|USD|Online Transfer to Savings|REF004|B002
TXN005|2025-08-08 11:20:35|3456789012345678|CREDIT|150.25|USD|Mobile Check Deposit|REF005|B003
TXN006|2025-08-08 12:10:15|1234567890123456|DEBIT|89.99|USD|Online Purchase - Electronics|REF006|B001
TXN007|2025-08-08 13:45:22|4567890123456789|CREDIT|750.00|USD|Insurance Claim Payout|REF007|B004
TXN008|2025-08-08 14:30:10|2345678901234567|DEBIT|125.50|USD|Utility Bill Payment|REF008|B002
TXN009|2025-08-08 15:15:45|3456789012345678|TRANSFER|300.00|USD|P2P Payment - Venmo|REF009|B003
TXN010|2025-08-08 16:00:30|5678901234567890|CREDIT|1500.00|USD|Business Revenue Deposit|REF010|B005
